,Score_Rank,Player,Team,Pos.,FantPtPerGame_2020,ValueOverPosition_2020,VOP_2020_WithFactor,Depth
146,147,CHUBA HUBBARD,CAR,RB,0.0,-1000.0,-1973.86,RB2
147,148,TY JOHNSON,NYJ,RB,3.6153846153846154,-1.4,-2.76,RB3
148,149,BOSTON SCOTT,PHI,RB,4.4375,-0.58,-1.14,RB2
149,150,TONY JONES,NO,RB,1.0,-4.01,-7.92,
150,151,NELSON AGHOLOR,NE,WR,8.625,4.34,7.41,LWR1
151,152,STERLING SHEPARD,NYG,WR,8.083333333333334,3.8,6.49,RWR1
152,153,TYRELL WILLIAMS,DET,WR,0.0,-1000.0,-1707.03,LWR1
153,154,RYAN FITZPATRICK,WAS,QB,17.0,6.43,10.11,QB1
154,155,EVAN ENGRAM,NYG,TE,4.875,2.19,4.28,TE1
155,156,JONNU SMITH,NE,TE,6.6,3.92,7.66,TE1
156,157,RHAMONDRE STEVENSON,NE,RB,0.0,-1000.0,-1973.86,RB3
157,158,DARREL WILLIAMS,KC,RB,2.3125,-2.7,-5.33,RB2
158,159,SAMAJE PERINE,CIN,RB,3.4375,-1.58,-3.12,RB2
159,160,SALVON AHMED,MIA,RB,9.666666666666666,4.65,9.18,RB3
160,161,QADREE OLLISON,ATL,RB,0.0,-1000.0,-1973.86,RB3
161,162,JUSTIN FIELDS,CHI,QB,0.0,-1000.0,-1571.77,QB1
162,163,ROB GRONKOWSKI,TB,TE,6.5,3.82,7.46,TE1
163,164,DEVONTAE BOOKER,NYG,RB,4.3125,-0.7,-1.38,RB2
164,165,RANDALL COBB,GB,WR,6.2,1.91,3.26,RWR1
165,166,MATT RYAN,ATL,QB,17.625,7.06,11.1,QB1
166,167,LATAVIUS MURRAY,NO,RB,7.533333333333333,2.52,4.97,RB2
167,168,JERICK MCKINNON,KC,RB,5.8125,0.8,1.58,RB3
168,169,ANTHONY MCFARLAND JR.,PIT,RB,1.5454545454545454,-3.47,-6.85,RB2
169,170,T.Y. HILTON,IND,WR,7.2,2.91,4.97,LWR1
170,171,MICHAEL THOMAS,NO,WR,6.285714285714286,2.0,3.41,LWR1
171,172,TRE'QUAN SMITH,NO,WR,4.928571428571429,0.64,1.09,SWR1
172,173,MIKE GESICKI,MIA,TE,7.066666666666666,4.38,8.56,TE1
173,174,GABRIEL DAVIS,BUF,WR,6.375,2.09,3.57,SWR1
174,175,BAKER MAYFIELD,CLE,QB,15.5,4.93,7.75,QB1
175,176,KIRK COUSINS,MIN,QB,19.125,8.56,13.45,QB1
176,177,COLE KMET,CHI,TE,2.125,-0.56,-1.09,TE1
177,178,MARQUEZ VALDES-SCANTLING,GB,WR,6.5,2.21,3.77,SWR1
178,179,JALEN REAGOR,PHI,WR,5.090909090909091,0.8,1.37,RWR1
179,180,CHRISTIAN KIRK,ARI,WR,7.0,2.71,4.63,LWR2
180,181,NICO COLLINS,HOU,WR,0.0,-1000.0,-1707.03,RWR1
181,182,GERALD EVERETT,SEA,TE,3.25,0.57,1.11,TE1
182,183,JUSTIN JACKSON,LAC,RB,5.111111111111111,0.1,0.2,RB2
183,184,JARET PATTERSON,WAS,RB,0.0,-1000.0,-1973.86,RB3
184,185,BRESHAD PERRIMAN,DET,WR,5.75,1.46,2.49,RWR1
185,186,KEELAN COLE SR.,NYJ,WR,0.0,-1000.0,-1707.03,
186,187,DARIUS SLAYTON,NYG,WR,5.6875,1.4,2.39,SWR1
187,188,AMON-RA ST. BROWN,DET,WR,0.0,-1000.0,-1707.03,SWR1
188,189,A.J. GREEN,ARI,WR,4.0,-0.29,-0.5,SWR1
189,190,RASHOD BATEMAN,BAL,WR,0.0,-1000.0,-1707.03,SWR1
190,191,SAMMY WATKINS,BAL,WR,5.0,0.71,1.21,RWR1
191,192,JOSH PALMER,LAC,WR,0.0,-1000.0,-1707.03,
192,193,HUNTER HENRY,NE,TE,6.071428571428571,3.39,6.62,TE2
193,194,JAMISON CROWDER,NYJ,WR,9.416666666666666,5.13,8.76,SWR1
194,195,DESEAN JACKSON,LAR,WR,6.2,1.91,3.26,LWR2
195,196,KJ HAMLER,DEN,WR,4.615384615384615,0.33,0.56,
196,197,QUEZ WATKINS,PHI,WR,2.8333333333333335,-1.45,-2.48,SWR1
197,198,VAN JEFFERSON,LAR,WR,1.75,-2.54,-4.34,SWR1
198,199,ZACH WILSON,NYJ,QB,0.0,-1000.0,-1571.77,QB1
199,200,BEN ROETHLISBERGER,PIT,QB,17.8,7.23,11.36,QB1
