,QB,LWR,RWR,SWR,RB,TE,K
PHILADELPHIA EAGLES,"['JALEN HURTS', 'GARDNER MINSHEW II', 'JOE FLACCO']","['DEVONTA SMITH', 'GREG WARD', 'J.J. ARCEGA-WHITESIDE']","['JALEN REAGOR', 'TRAVIS FULGHAM']","['QUEZ WATKINS', 'JOHN HIGHTOWER']","['MILES SANDERS', 'BOSTON SCOTT', 'KENNETH GAINWELL', 'JORDAN HOWARD', 'JASON HUNTLEY', 'ELIJAH HOLYFIELD']","['DALLAS GOEDERT', 'ZACH ERTZ', 'RICHARD RODGERS', 'JASON CROOM', 'TYREE JACKSON']",['JAKE ELLIOTT']
WASHINGTON FOOTBALL TEAM,"['RYAN FITZPATRICK', 'TAYLOR HEINICKE', 'KYLE ALLEN', 'STEVEN MONTEZ']","['TERRY MCLAURIN', 'ADAM HUMPHRIES', 'ANTONIO GANDY-GOLDEN']","['CURTIS SAMUEL', 'CAM SIMS', 'ISAIAH WRIGHT']","['DYAMI BROWN', 'DAX MILNE', 'DEANDRE CARTER']","['ANTONIO GIBSON', 'J.D. MCKISSIC', 'JARET PATTERSON', 'PEYTON BARBER', 'JONATHAN WILLIAMS']","['LOGAN THOMAS', 'JOHN BATES', 'CALEB WILSON', 'RICKY SEALS-JONES', 'TYRONE SWOOPES', 'SAMMIS REYES', 'DYLAN CANTRELL']",['DUSTIN HOPKINS']
CHICAGO BEARS,"['JUSTIN FIELDS', 'ANDY DALTON', 'NICK FOLES']","['ALLEN ROBINSON II', 'MARQUISE GOODWIN', 'RILEY RIDLEY']","['DARNELL MOONEY', 'ISAIAH COULTER', 'CHRIS LACY']","['DAMIERE BYRD', 'DAZZ NEWSOME', ""JON'VEA JOHNSON""]","['DAVID MONTGOMERY', 'DAMIEN WILLIAMS', 'TARIK COHEN', 'KHALIL HERBERT', 'ARTAVIS PIERCE', 'RYAN NALL']","['COLE KMET', 'JIMMY GRAHAM', 'JESSE JAMES', 'J.P. HOLTZ', 'JESPER HORSTED']",['CAIRO SANTOS']
DETROIT LIONS,"['JARED GOFF', 'TIM BOYLE', 'DAVID BLOUGH']","['TYRELL WILLIAMS', 'QUINTEZ CEPHUS', 'KALIF RAYMOND']","['BRESHAD PERRIMAN', 'GERONIMO ALLISON', 'VICTOR BOLDEN']","['AMON-RA ST. BROWN', 'SAGE SURRATT', 'DAMION RATLEY']","[""D'ANDRE SWIFT"", 'JAMAAL WILLIAMS', 'JERMAR JEFFERSON', 'GODWIN IGWEBUIKE', 'DEDRICK MILLS']","['T.J. HOCKENSON', 'DARREN FELLS', 'HUNTER BRYANT', 'ALIZÉ MACK', 'CHARLIE TAUMOEPEAU']","['RANDY BULLOCK', 'ZANE GONZALEZ']"
GREEN BAY PACKERS,"['AARON RODGERS', 'JORDAN LOVE', 'KURT BENKERT']","['DAVANTE ADAMS', 'ALLEN LAZARD', 'MALIK TAYLOR']","['RANDALL COBB', 'AMARI RODGERS', 'JUWANN WINFREE']","['MARQUEZ VALDES-SCANTLING', 'EQUANIMEOUS ST. BROWN', 'REGGIE BEGELTON']","['AARON JONES', 'A.J. DILLON', 'KYLIN HILL', 'DEXTER WILLIAMS', 'PATRICK TAYLOR']","['ROBERT TONYAN', 'MARCEDES LEWIS', 'JACE STERNBERGER', 'JOSIAH DEGUARA', 'DOMINIQUE DAFNEY']",['MASON CROSBY']
MINNESOTA VIKINGS,"['KIRK COUSINS', 'KELLEN MOND', 'JAKE BROWNING', 'NATE STANLEY']","['JUSTIN JEFFERSON', 'K.J. OSBORN', 'BLAKE PROEHL']","['ADAM THIELEN', 'CHAD BEEBE', 'DAN CHISENA']","['DEDE WESTBROOK', 'IHMIR SMITH-MARSETTE', 'BISI JOHNSON']","['DALVIN COOK', 'ALEXANDER MATTISON', 'AMEER ABDULLAH', 'KENE NWANGWU', 'C.J. HAM', 'A.J. ROSE JR.']","['IRV SMITH JR.', 'TYLER CONKLIN', 'ZACH DAVIDSON', 'BRANDON DILLON']",['GREG JOSEPH']
ATLANTA FALCONS,"['MATT RYAN', 'FELEIPE FRANKS', 'JOSH ROSEN', 'AJ MCCARRON']","['CALVIN RIDLEY', 'CHRISTIAN BLAKE', 'CHRIS ROWLAND']","['RUSSELL GAGE', 'FRANK DARBY', 'TREVOR DAVIS']","['OLAMIDE ZACCHEAUS', 'TAJAÉ SHARPE']","['MIKE DAVIS', 'CORDARRELLE PATTERSON', 'QADREE OLLISON', ""D'ONTA FOREMAN"", 'KEITH SMITH', 'CALEB HUNTLEY']","['KYLE PITTS', 'HAYDEN HURST', 'LEE SMITH', 'JAEDEN GRAHAM']",['YOUNGHOE KOO']
CAROLINA PANTHERS,"['SAM DARNOLD', 'P.J. WALKER', 'WILL GRIER']","['DJ MOORE', 'DAVID MOORE', 'BRANDON ZYLSTRA']","['ROBBY ANDERSON', 'SHI SMITH', 'KEITH KIRKWOOD']","['TERRACE MARSHALL JR.', 'OMAR BAYLESS']","['CHRISTIAN MCCAFFREY', 'CHUBA HUBBARD', 'REGGIE BONNAFON', 'RODNEY SMITH', 'TRENTON CANNON', 'SPENCER BROWN']","['DAN ARNOLD', 'IAN THOMAS', 'TOMMY TREMBLE', 'COLIN THOMPSON', 'GIOVANNI RICCI', 'STEPHEN SULLIVAN']",[]
NEW ORLEANS SAINTS,"['JAMEIS WINSTON', 'TAYSOM HILL', 'IAN BOOK', 'TREVOR SIEMIAN']","['MICHAEL THOMAS', 'DEONTE HARRIS', 'CHRIS HOGAN']","['MARQUEZ CALLAWAY', ""LIL'JORDAN HUMPHREY"", 'KAWAAN BAKER']","[""TRE'QUAN SMITH"", 'TY MONTGOMERY', 'KEVIN WHITE']","['ALVIN KAMARA', 'LATAVIUS MURRAY', 'TONY JONES JR.', 'DEVONTA FREEMAN', 'ALEX ARMAH', 'DWAYNE WASHINGTON']","['ADAM TRAUTMAN', 'JUWAN JOHNSON', 'NICK VANNETT', 'GARRETT GRIFFIN']","['WIL LUTZ', 'ALDRICK ROSAS']"
TAMPA BAY BUCCANEERS,"['TOM BRADY', 'KYLE TRASK', 'BLAINE GABBERT', 'RYAN GRIFFIN']","['MIKE EVANS', 'SCOTTY MILLER', 'JUSTIN WATSON']","['CHRIS GODWIN', 'TYLER JOHNSON', 'CYRIL GRAYSON']","['ANTONIO BROWN', 'JAELON DARDEN', 'JAYDON MICKENS']","['RONALD JONES II', 'LEONARD FOURNETTE', 'GIOVANI BERNARD', ""KE'SHAWN VAUGHN"", 'C.J. PROSISE']","['ROB GRONKOWSKI', 'O.J. HOWARD', 'CAMERON BRATE', 'TANNER HUDSON', 'CODEY MCELROY']","['RYAN SUCCOP', 'JOSE BORREGALES']"
ARIZONA CARDINALS,"['KYLER MURRAY', 'COLT MCCOY', 'CHRIS STREVELER']","['DEANDRE HOPKINS', 'CHRISTIAN KIRK', 'GREG DORTCH']","['RONDALE MOORE', 'ANDY ISABELLA', 'ANTOINE WESLEY']","['A.J. GREEN', 'KEESEAN JOHNSON']","['CHASE EDMONDS', 'JAMES CONNER', 'ENO BENJAMIN', 'JONATHAN WARD', 'TAVIEN FEASTER']","['MAXX WILLIAMS', 'DARRELL DANIELS', 'DEMETRIUS HARRIS', 'ROSS TRAVIS']",['MATT PRATER']
LOS ANGELES RAMS,"['MATTHEW STAFFORD', 'JOHN WOLFORD', 'BRYCE PERKINS']","['ROBERT WOODS', 'DESEAN JACKSON', 'BEN SKOWRONEK']","['COOPER KUPP', 'TUTU ATWELL']","['VAN JEFFERSON', 'TRISHTON JACKSON']","['DARRELL HENDERSON JR.', 'SONY MICHEL', 'XAVIER JONES', 'JAKE FUNK', 'CAM AKERS']","['TYLER HIGBEE', 'JACOB HARRIS', 'BRYCEN HOPKINS', 'JOHNNY MUNDT']",['MATT GAY']
SAN FRANCISCO 49ERS,"['TREY LANCE', 'JIMMY GAROPPOLO', 'NATE SUDFELD']","['BRANDON AIYUK', 'TRENT SHERFIELD', 'RIVER CRACRAFT']","['DEEBO SAMUEL', 'JALEN HURD', 'NSIMBA WEBSTER']","['MOHAMED SANU SR.', 'TRAVIS BENJAMIN', 'JAUAN JENNINGS']","['RAHEEM MOSTERT', 'TREY SERMON', 'KYLE JUSZCZYK', 'JEFF WILSON JR.', 'WAYNE GALLMAN II', 'ELIJAH MITCHELL', 'JAMYCAL HASTY']","['GEORGE KITTLE', 'ROSS DWELLEY', 'JORDAN MATTHEWS', 'CHARLIE WOERNER', 'MYCOLE PRUITT']",['ROBBIE GOULD']
SEATTLE SEAHAWKS,"['RUSSELL WILSON', 'GENO SMITH', 'SEAN MANNION']","['DK METCALF', 'FREDDIE SWAIN', 'CODY THOMPSON']","['TYLER LOCKETT', 'PENNY HART', 'AARON FULLER']","[""D'WAYNE ESKRIDGE"", 'JOHN URSUA']","['CHRIS CARSON', 'RASHAAD PENNY', 'DEEJAY DALLAS', 'TRAVIS HOMER', 'ALEX COLLINS', 'NICK BELLORE', 'JOSH JOHNSON']","['GERALD EVERETT', 'WILL DISSLY', 'COLBY PARKINSON']",['JASON MYERS']
